name,ring,quadrant,isNew,description
Hybrid Cloud,trial,techniques,FALSE,"<p>A hybrid cloud is a computing environment that combines a public cloud and a private cloud by allowing data and applications to be shared between them. When computing and processing demand fluctuates, hybrid cloud computing gives businesses the ability to seamlessly scale their on-premises infrastructure up to the public cloud to handle any overflow—without giving third-party datacenters access to the entirety of their data. Organizations gain the flexibility and computing power of the public cloud for basic and non-sensitive computing tasks, while keeping business-critical applications and data on-premises, safely behind a company firewall.</p>"
Infrastructure as code,adopt,techniques,TRUE,"<p><b>Infra as code</b> is the management of infrastructure (networks, virtual machines, load balancers, and connection topology) in a descriptive model, using the same versioning as DevOps team uses for source code. Like the principle that the same source code generates the same binary, an IaC model generates the same environment every time it is applied. IaC is a key DevOps practice and is used in conjunction with continuous delivery.</p>"
Four key metrics,adopt,techniques,TRUE,"<p>Four key metrics (lead time, deployment frequency, time to restore and change failure) are the four indicators which show the devops maturity of a team or an organization.</p>"
Serverless Framework,adopt,techniques,FALSE,"<p>The popular <strong><a href=""https://serverless.com/"">Serverless Framework</a></strong> provides tooling for scaffolding and deployment of serverless applications, primarily using <strong><a href=""https://aws.amazon.com/tr/lambda/"">AWS Lambda</a></strong> and other AWS offerings. Serverless Framework provides template support for JavaScript, Python, Java and C#, and has an active community that contributes plugins that extend the framework. The framework also supports the Apache incubator project OpenWhisk as an alternative to AWS Lambda.</p>"
Cloud Adaption Framework,adopt,techniques,TRUE,"<p>The Cloud Adoption Framework is proven guidance that’s designed to help you create and implement the business and technology strategies necessary for your organization to succeed in the cloud. It provides best practices, documentation, and tools that cloud architects, IT professionals, and business decision makers need to successfully achieve their short- and long-term objectives.</p>"
DevOps Assessment,adopt,techniques,TRUE,"<p>A DevOps assessment is nothing but a set of questions that personnel from different organizational areas can answer. Based on the analysis of the answers, the organization can see whether it is moving in the right direction. DevOps assessment helps outline current maturity and identify a road map of improvement areas.</p>"
Event Storming,trial,techniques,FALSE,"<p><b>Event storming</b> is a workshop-based method to quickly find out what is happening in the domain of a software program. Compared to other methods it is extremely lightweight and intentionally requires no support by a computer.The result is expressed in sticky notes on a wide wall. The business process is ""stormed out"" as a series of domain events which are denoted as orange stickies. It was invented by <a href=""/w/index.php?title=Alberto_Brandolini&amp;action=edit&amp;redlink=1"" class=""new"" title=""Alberto Brandolini (page does not exist)"">Alberto Brandolini</a> in the context of <a href=""https://en.wikipedia.org/wiki/Domain-driven_design"" title=""Domain-driven design"">domain-driven design</a> (DDD). Event storming can be used as a means for <a href=""https://en.wikipedia.org/wiki/Business_process_modeling"" title=""Business process modeling"">business process modeling</a> and <a href=""https://en.wikipedia.org/wiki/Requirements_engineering"" title=""Requirements engineering"">requirements engineering</a>.The basic idea is to bring together software developers and <a href=""https://en.wikipedia.org/wiki/Domain_expert"" class=""mw-redirect"" title=""Domain expert"">domain experts</a> and learn from each other.To make this learning process easier, event storming is meant to be fun.<sup id=""cite_ref-introducing_2-0"" class=""reference""><a href=""#cite_note-introducing-2"">[2]</a></sup><sup id=""cite_ref-ddddistilled_3-0"" class=""reference""><a href=""#cite_note-ddddistilled-3"">[3]</a></sup> The name was chosen to show that the focus should be on the domain events and the method works similar to <a href=""https://en.wikipedia.org/wiki/Brainstorming"" title=""Brainstorming"">brainstorming</a> or <a href=""https://en.wikipedia.org/wiki/Agile_modeling"" title=""Agile modeling"">agile modeling</a>'s model storming. </p>"
Value Stream Mapping,trial,techniques,FALSE,"<p>Value stream mapping (sometimes called VSM) is a lean manufacturing technique to analyze, design, and manage the flow of materials and information required to bring a product to a customer. Also known as ""material and information-flow mapping"", it uses a system of standard symbols to depict various work streams and information flows. Items are mapped as adding value or not adding value from the customer’s standpoint, with the purpose of rooting out items that don’t add value.</p>"
Chaos Testing,trial,techniques,FALSE,<p><b>Chaos engineering</b> is the discipline of experimenting on a software system in production in order to build confidence in the system's capability to withstand turbulent and unexpected conditions.</p>
Event Sourcing,trial,techniques,FALSE,"<p><span class=""self"">Event Sourcing</span> ensures that all changes to application state are stored as a sequence of events. Not just can we query these events, we can also use the event log to reconstruct past states, and as a foundation to automatically adjust the state to cope with retroactive changes. - <a target=""_blank"" href=""https://martinfowler.com/eaaDev/EventSourcing.html"">Event Sourcing | Martin Fowler</a></p>"
Pipeline as yaml,adopt,techniques,TRUE,<p>Azure DevOps allows you to use either classic editor or pipeline yamls to build your pipelines. As KoçSistem we began using azure pipeline yamls to build pipelines for our customer.</p>
Contract testing,trial,techniques,TRUE,"<p>Contract testing is a methodology for ensuring that two separate systems (such as two microservices) are compatible with one other. It captures the interactions that are exchanged between each service, storing them in a contract, which can then be used to verify that both parties adhere to it.</p>"
Container Vulnerability Scanning,trial,techniques,TRUE,"<p>The container revolution around Docker has massively reduced the friction in moving applications between environments, fueling increased adoption of continuous delivery and continuous deployments. The latter, especially, has blown a rather large hole in the traditional controls over what can go to production. The technique of container security scanning is a necessary response to this threat vector. Tools in the build pipeline automatically check containers flowing through the pipeline against known vulnerabilities.</p>"
Micro Frontends,assess,techniques,FALSE,"<p><b>Microservices architectures</b> has many benefits, which have allowed teams to scale the delivery of independently deployed and maintained services. Unfortunately, we've also seen many teams create front-end monoliths — a single, large and sprawling browser application — on top of their back-end services. In this approach, the web application is broken down into its features, and each feature is owned, frontend to backend, by a different team. This ensures that every feature is developed, tested and deployed independently from other features. Multiple techniques exist to recombine the features — sometimes as pages, sometimes as components — into a cohesive user experience. <strong><a href=""https://www.mosaic9.org/"">Zalando</a></strong>uses this technique as Project Mosaic</p>"
DataOps,assess,techniques,FALSE,"<p><strong><a href=""https://www.datascience.com/resources/white-papers/dataops-with-mapr"">DataOps</a></strong>, or data operations, is the latest agile operations methodology to spring from the collective consciousness of IT and big data professionals. It focuses on cultivating data management practices and processes that improve the speed and accuracy of analytics, including data access, quality control, automation, integration, and, ultimately, model deployment and management.
 At its core, DataOps is about aligning the way you manage your data with the goals you have for that data. If you want to, say, reduce your customer churn rate, you could leverage your customer data to build a recommendation engine that surfaces products that are relevant to your customers — which would keep them buying longer. But that’s only possible if your data science team has access to the data they need to build that system and the tools to deploy it, and can integrate it with your website, continually feed it new data, monitor performance, etc., an ongoing process that will likely include input from your engineering, IT, and business teams. </p>"
ChatOps,assess,techniques,FALSE,"<p><b>ChatOps</b> is the use of chat clients, chatbots and real-time communication tools to facilitate how software development and operation tasks are communicated and executed.
 In a ChatOps environment, the chat client serves as the primary communication channel for ongoing work. Tools that developers and operations managers already use are integrated into a collaborative communication environment to improve ticket tracking and automated incident response. ChatOps is sometimes referred to as conversation-driven collaboration or conversation-driven DevOps.</p>"
AIOps,assess,techniques,FALSE,"<p>Artificial intelligence for IT operations (AIOps) is an umbrella term for the use of <b>big data analytics</b>, <b>machine learning (ML)</b> and other <b>artificial intelligence (AI)</b> technologies to automate the identification and resolution of common information technology (IT) issues. The systems, services and applications in a large enterprise produce immense volumes of log and performance data. AIOps uses this data to monitor assets and gain visibility into dependencies without and outside of IT systems</p>"
CQRS,assess,techniques,FALSE,"<p><strong><a href=""https://martinfowler.com/bliki/CQRS.html"">Command Query Responsibility Segregation</a></strong>, comes from CQS (Command Query Separation) introduced by Bertrand Meyer in Object Oriented Software Construction. Meyer states that every method should be either a query or a command. This technique Supports multiple denormalized views that are scalable and performant, improved separation of concerns = simpler command and query models and Necessary in an event sourced architecture</p>"
Zero trust architecture,assess,techniques,TRUE,"<p>Zero trust (ZT) is the term for an evolving set of cybersecurity paradigms that move defenses from static, network-based perimeters to focus on users, assets, and resources. A zero trust architecture (ZTA) uses zero trust principles to plan industrial and enterprise infrastructure and workflows. Zero trust assumes there is no implicit trust granted to assets or user accounts based solely on their physical or network location (i.e., local area networks versus the internet) or based on asset ownership (enterprise or personally owned). Authentication and authorization (both subject and device) are discrete functions performed before a session to an enterprise resource is established. </p>"
Low Code Platforms,hold,techniques,FALSE,"<p>Low-code platforms use graphical user interfaces and configuration in order to create applications. Unfortunately, low-code environments are promoted with the idea that this means you no longer need skilled development teams. Such suggestions ignore the fact that writing code is just a small part of what needs to happen to create high-quality software—practices such as source control, testing and careful design of solutions are just as important. Although these platforms have their uses, we suggest approaching them with caution, especially when they come with extravagant claims for lower cost and higher productivity.</p>"
Model Driven Development,hold,techniques,FALSE,<p>Model-driven development (MDD) leverages graphical models and pre-built application components so that users can visually construct complex applications. Interest in model-driven development continues to increase as individuals experience the ease and speed with which technical and business users orchestrate and deploy business applications. There are two core concepts associated with model-driven development: abstraction and automation. The software application model is defined on a higher abstraction level and then converted into a working application using automated transformation or interpretations. </p>
Azure Devops,adopt,platforms,FALSE,"<p><strong><a href=""https://azure.microsoft.com/en-us/services/devops/"">Azure DevOps</a></strong> services include a set of managed services such as hosted Git repos, CI/CD pipelines and artifact repository. Azure DevOps services have replaced <strong><a href=""https://docs.microsoft.com/tr-tr/azure/devops/user-guide/what-is-azure-devops?view=azure-devops&viewFallbackFrom=vsts#vsts"">Visual Studio Team Services</a></strong>. We're hoping that Azure DevOps services improve over time to provide a good developer experience when hosting applications on Azure, with a frictionless experience integrating with other Azure services.</p>"
Azure Application Services,adopt,platforms,TRUE,"<p>Azure Application Services include Azure App Service, Azure Kubernetes Service, Azure Functions, Azure Logic Apps, Azure Notification Hubs</p>"
OpenShift,adopt,platforms,FALSE,"<p>OpenShift is a family of containerization software developed by Red Hat. Its flagship product is the OpenShift Container Platform—an on-premises platform as a service built around Docker containers orchestrated and managed by Kubernetes on a foundation of Red Hat Enterprise Linux. The family's other products provide this platform through different environments: OKD serves as the community-driven upstream (akin to CentOS), OpenShift Online is the platform offered as software as a service, and Openshift Dedicated is the platform offered as a managed service.</p>"
Kubernetes,adopt,platforms,FALSE,"<p>Kubernetes is a portable, extensible, open-source platform for managing containerized workloads and services, that facilitates both declarative configuration and automation. It has a large, rapidly growing ecosystem. Kubernetes services, support, and tools are widely available.</p>"
JFrog,adopt,platforms,TRUE,"<p>As the world’s first universal repository, JFrog Artifactory is the mission-critical heart of the JFrog Platform functioning as the single source of truth for all packages, container images and Helm charts, as they move across the entire DevOps pipeline.</p>"
Linkerd,trial,platforms,FALSE,"<p>Linkerd is a <em>service mesh</em> for Kubernetes. It makes running services easier and safer by giving you runtime debugging, observability, reliability, and security—all without requiring any changes to your code.</p>"
Istio,trial,platforms,FALSE,"<p>When building and operating a microservices ecosystem, one of the early questions to answer is how to implement cross-cutting concerns such as service discovery, service-to-service and origin-to-service security, observability (including telemetry and distributed tracing), rolling releases and resiliency. Over the last couple of years, our default answer to this question has been using a <strong><a href=""https://www.nginx.com/blog/what-is-a-service-mesh/"">service mesh</a></strong> technique. A service mesh offers the implementation of these cross-cutting capabilities as an infrastructure layer that is configured as code. The policy configurations can be consistently applied to the whole ecosystem of microservices; enforced on both in and out of mesh traffic (via the mesh proxy as a gateway) as well as on the traffic at each service (via the same mesh proxy as a sidecar container). While we're keeping a close eye on the progress of different open source service mesh projects such as <strong><a href=""https://linkerd.io/"">Linkerd</a></strong>, we've successfully used <strong><a href=""https://istio.io/"">Istio</a></strong> in production with a surprisingly easy-to-configure operating model.</p>"
Neo4j,adopt,platforms,FALSE,"<p><strong><a href=""https://neo4j.com/"">Neo4j</a></strong> is a high performance graph store with all the features expected of a mature and robust database, like a friendly query language and <strong><a href=""https://www.geeksforgeeks.org/acid-properties-in-dbms/"">ACID</a></strong> transactions. The programmer works with a flexible network structure of nodes and relationships rather than static tables — yet enjoys all the benefits of enterprise-quality database. For many applications, Neo4j offers orders of magnitude performance benefits compared to relational DBs. We used this platform in KocHub project</p>"
Redis,adopt,platforms,FALSE,"<p>In-memory data structure store, used as a database, cache and message broker. It supports data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes with radius queries and streams. We used as structured cache in out projects</p>"
RabbitMQ,adopt,platforms,FALSE,"<p>RabbitMQ is one of the most popular open source message brokers. It supports <strong><a href=""https://www.amqp.org/"">Amqp</a></strong> for messaging protocols</p>"
MongoDB,adopt,platforms,FALSE,"<p>For problems that fit the document database model, MongoDB is now the most popular choice. In addition to ease of use and a solid technical implementation, the community and ecosystem contributed to this success. We are aware of problems where teams were tempted by the popularity of MongoDB when a document database was not a good fit or they did not understand the inherent complexity. When used appropriately, however, MongoDB has proven itself on many projects.</p>"
PostgreSQL,adopt,platforms,FALSE,"<p>PostgreSQL is a powerful, open source object-relational database system with over 30 years of active development that has earned it a strong reputation for reliability, feature robustness, and performance.PostgreSQL is free and open source software. Its source code is available under PostgreSQL license, a liberal open source license. You are free to use, modify and distribute PostgreSQL in any form.</p>"
GitLab,adopt,platforms,TRUE,"<p>GitLab is a web-based DevOps lifecycle tool that provides a Git-repository manager providing wiki, issue-tracking and continuous integration and deployment pipeline features, using an open-source license, developed by GitLab Inc.</p>"
Anthos,trial,platforms,TRUE,<p>Anthos is a modern application management platform that provides a consistent development and operations experience for cloud and on-premises environments.</p>
Knative,trial,platforms,FALSE,"<p>The <a href=""/radar/techniques/serverless-architecture"">serverless architecture</a> has popularized a FaaS style of programming among developers; it helps developers focus on solving core business problems with independently built and deployed functions that react to an event, run a business process, produce other events in the process and scale down to zero. Historically, proprietary serverless platforms such as <a href=""/radar/platforms/aws-lambda"">AWS Lambda</a> or Microsoft <a href=""https://azure.microsoft.com/en-us/services/functions/"">Azure Functions</a> have enabled this programming paradigm. <strong><a href=""https://www.knative.dev/"">Knative</a></strong> is an open-source Kubernetes-based platform to run FaaS workloads. There are few things that stand out about Knative: it's open source and provider agnostic; it implements the serverless workflow as described in the CNCF Serverless Working Group <a href=""https://github.com/cncf/wg-serverless/tree/master/whitepapers/serverless-overview"">whitepaper</a>; it ensures cross-service interoperability by implementing its eventing interface consistent with <a href=""https://github.com/cloudevents/spec/blob/master/spec.md#design-goals"">CNCF CloudEvents</a> specification; and, most importantly, it addresses a common challenge of operating a harmonized and yet hybrid FaaS and long-running container-based architecture. It easily integrates with both <a href=""/radar/platforms/istio"">Istio</a> and <a href=""/radar/platforms/kubernetes"">Kubernetes</a>. For example, developers can take advantage of roll-out strategies that Istio implements by traffic splitting between different revisions of the functions. Developers can take benefit of Istio-provided observability not only for long-running container services but also for FaaS programs in the same Kubernetes environment. We anticipate that Knative open-source eventing interface will continue to enable new underlying source and destination event integrations.</p>"
Docker Swarm,trial,platforms,FALSE,"<p>Docker swarm is a container orchestration tool, meaning that it allows the user to manage multiple containers deployed across multiple host machines. </p>"
Zuul API Gateway,trial,platforms,FALSE,"<p>Zuul is an L7 application gateway that provides capabilities for dynamic routing, monitoring, resiliency, security, and more. Please view the wiki for usage, information, HOWTO, etc <a href=""https://github.com/Netflix/zuul/wiki"">https://github.com/Netflix/zuul/wiki</a></p>"
Hyperledger Fabric,trial,platforms,FALSE,"<p>Hyperledger Fabric is intended as a foundation for developing applications or solutions with a modular architecture. Hyperledger Fabric allows components, such as consensus and membership services, to be plug-and-play. Its modular and versatile design satisfies a broad range of industry use cases. It offers a unique approach to consensus that enables performance at scale while preserving privacy.</p>"
Fortify,trial,platforms,TRUE,"<p>Fortify SCA is a static application security testing (SAST) offering used by development groups and security professionals to analyze the source code for security vulnerabilities. It reviews code and helps developers identify, prioritize, and resolve issues with less effort and in less time.</p>"
Microfocus Mobile Center,trial,platforms,FALSE,"<p><strong><a href=""https://www.microfocus.com/en-us/products/mobile-testing/overview"">Micro Focus Mobile Center</a></strong> software is a mobile testing and monitoring solution enabling you to test and monitor any mobile app or mobile web page on real devices or emulators, across real-world network conditions, and release apps that delight users.</p>"
Spinnaker,trial,platforms,FALSE,"<p><a href=""http://techblog.netflix.com/2015/11/global-continuous-delivery-with.html"">Netflix</a> has open sourced <a href=""http://www.spinnaker.io/""><strong>Spinnaker</strong></a>, its microservices continuous delivery (CD) platform. Compared to other CI/CD platforms, Spinnaker implements cluster management and deployment of baked images to the cloud as first-class features. It supports out-of-the-box deployment and cluster management for multiple cloud providers such as Google Cloud Platform, AWS and <a href=""/radar/platforms/pivotal-cloud-foundry"">Pivotal Cloud Foundry</a>. You can integrate Spinnaker with Jenkins to run a Jenkins job build. We like Spinnaker's opinionated approach for deploying microservices to the cloud—with the exception that Spinnaker's pipelines are created via a user interface (UI) and cannot be configured as code.</p>"
AWS Lambda,assess,platforms,FALSE,"<p>AWS Lambda is a <strong><a href=''https://www.thoughtworks.com/radar/techniques/serverless-architecture'>serverless compute service</a></strong> that runs your code in response to events and automatically manages the underlying compute resources for you. You can use AWS Lambda to extend other AWS services with custom logic, or create your own back-end services that operate at AWS scale, performance, and security. AWS Lambda can automatically run code in response to multiple events, such as HTTP requests via <strong><a href=""https://www.thoughtworks.com/radar/platforms/amazon-api-gateway"">Amazon API Gateway</a></strong>, modifications to objects in Amazon S3 buckets, table updates in Amazon DynamoDB, and state transitions in AWS Step Functions.</p>"
Kafka Streams,assess,platforms,FALSE,"<p><strong><a href=""https://kafka.apache.org/documentation/streams/"">Kafka Streams</a></strong> is a lightweight library to build streaming applications. It supports basic streaming APIs such as join, filter, map and aggregate as well as local storage for common use cases such as windowing and sessions. Unlike other stream-processing platforms such as <a href=""/radar/platforms/apache-spark"">Apache Spark</a> and <a href=""https://doc.akka.io/docs/akka-stream-kafka/current/home.html"">Alpakka Kafka</a>, Kafka Streams has been a good fit for scenarios that don't require large-scale distribution and parallel processing; hence we could get away without yet another piece of infrastructure such as cluster schedulers. Naturally, Kafka Streams has been a good choice when operating in the Kafka ecosystem. Kafka Streams is particularly useful when we have to process data strictly in order and exactly once. One particular use case of Kafka Streams is to build a <a href=""https://en.wikipedia.org/wiki/Change_data_capture#Event_Programming"">change data capture (CDC)</a> platform.</p>"
OpenAPM,assess,platforms,FALSE,"<p>One of the challenges in adopting an open-source alternative to popular commercial packages is sorting through the complicated landscape of projects to understand which components you need, which ones play nicely together and exactly which part of a total solution each component covers. This is particularly difficult in the world of observability, where the standard practice is to purchase one comprehensive but pricey package to do it all. OpenAPM makes the open-source selection process for observability tools easier. It displays the current crop of open-source packages classified by component roles, so you can interactively select compatible components. As long as you keep the tool up to date, it should help you navigate through the confusing array of possible tools.</p>"
Vagrant,assess,platforms,FALSE,"<p>The tool <strong><a href=""https://www.vagrantup.com/"">Vagrant</a></strong> makes it simple for teams to distribute virtualized development environments constructed using version-control friendly descriptors. Vagrant helps eliminate environmental differences in development and reduce troubleshooting waste.</p>"
Packer,assess,platforms,FALSE,"<p>The thing holding this technique back was the difficulty in building images, especially when targeting more than one platform. <strong><a href=""https://www.packer.io/"">Packer</a></strong> solves this, using your configuration management tool of choice to create images for a number of platforms including AWS, Rackspace, DigitalOcean and even Docker and Vagrant, although we have found the VMWare support to be problematic.</p>"
Rancher,assess,platforms,FALSE,"<p>Rancher is open source software that combines everything an organization needs to adopt and run containers in production. Built on Kubernetes, Rancher makes it easy for DevOps teams to test, deploy and manage their applications. </p>"
Aqua,assess,platforms,TRUE,"<p>Aqua Security helps enterprises secure their cloud native applications from development to production, whether they run using containers, serverless, or virtual machines. Aqua bridges the gap between DevOps and security, promoting business agility and accelerating digital transformation. Aqua’s Cloud Native Security portfolio provides full visibility and security automation across the entire application lifecycle and infrastructure, using a modern zero-touch approach to detect and prevent threats while simplifying regulatory compliance. Aqua customers include some of the world’s largest financial services, software development, internet, media, hospitality and retail companies, with implementations across the globe spanning a broad range of cloud providers and on-premise technologies.</p>"
Azure Service Fabric,hold,platforms,FALSE,"<p>Azure Service Fabric is a distributed systems platform that makes it easy to package, deploy, and manage scalable and reliable microservices and containers. Service Fabric also addresses the significant challenges in developing and managing cloud native applications. Developers and administrators can avoid complex infrastructure problems and focus on implementing mission-critical, demanding workloads that are scalable, reliable, and manageable. Service Fabric represents the next-generation platform for building and managing these enterprise-class, tier-1, cloud-scale applications running in containers.</p>"
Azure Service Fabric Mesh,hold,platforms,FALSE,"<p>Azure Service Fabric Mesh is a fully managed service that enables developers to deploy microservices applications without managing virtual machines, storage, or networking. Applications hosted on Service Fabric Mesh run and scale without you worrying about the infrastructure powering it. Service Fabric Mesh consists of clusters of thousands of machines. All cluster operations are hidden from the developer. Upload your code and specify resources you need, availability requirements, and resource limits. Service Fabric Mesh automatically allocates the infrastructure and handles infrastructure failures, making sure your applications are highly available. You only need to care about the health and responsiveness of your application-not the infrastructure.</p>"
Elasticsearch,adopt,tools,FALSE,"<p>Elasticsearch is a search engine based on the <strong><a href=""https://lucene.apache.org/"">Lucene</a></strong> library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. </p>"
ELK Stack,adopt,tools,FALSE,"<p>""ELK"" is the acronym for three open source projects: Elasticsearch, Logstash, and Kibana. <strong><a href=""https://www.elastic.co/"">Elasticsearch</a></strong> is a search and analytics engine. <strong><a href=""https://www.elastic.co/products/logstash"">Logstash</a></strong> is a server‑side data processing pipeline that ingests data from multiple sources simultaneously, transforms it, and then sends it to a ""stash"" like Elasticsearch. <strong><a href=""https://www.elastic.co/products/kibana"">Kibana</a></strong> lets users visualize data with charts and graphs in Elasticsearch.<p>"
